,0,1,2,3,4,5,6
279,280.,01-Sep-2023 12:00 PM,15-Sep-2023 02:30 PM,15-Sep-2023 03:00 PM,"[SUPPLY INSTALLATION AND COMMISSIONING OF IMPEDANCE ANALYZER, LCR METER, OSCILLOSCOPE AND ADVANCE DIGITAL MULTIMETER][C-2(b)/RC/206/00862/2023][2023_CEL_166336_1]",Central Electronics Limited,NA
280,281.,01-Sep-2023 12:00 PM,06-Sep-2023 06:00 PM,08-Sep-2023 11:00 AM,"[Cleaning and disposal of the waste, Leaves, Malba, Bio mass etc in Neeri Colony premises, Nagpur][50(37)/2023-24/W][2023_CSIR_165596_2]",Council of Scientific and Industrial Research||NEERI-Nagpur - CSIR||ESD-NEERI - CSIR,"5,26,615"
281,282.,01-Sep-2023 12:00 PM,07-Sep-2023 12:00 PM,08-Sep-2023 12:00 PM,[DVC/T/CT/CHP/CANDM/WS/00017][DVC/T/CT/CHP/CANDM/WS/00017][2023_DVC_166330_1],Damodar Valley Corporation||CTPS Chandrapura - DVC||C and M,"18,39,936"
282,283.,01-Sep-2023 12:00 PM,15-Sep-2023 02:30 PM,15-Sep-2023 03:00 PM,"[SUPPLY INSTALLATION AND COMMISSIONING OF IMPEDANCE ANALYZER, LCR METER, OSCILLOSCOPE AND ADVANCE DIGITAL MULTIMETER][C-2(b)/RC/206/00862/2023][2023_CEL_166336_1]",Central Electronics Limited,NA
283,284.,01-Sep-2023 12:00 PM,07-Sep-2023 03:30 PM,08-Sep-2023 03:30 PM,[Supply of Agro Chemicals for marketing in different states][Supply of Agrochemicals for Marketing][2023_NFL_166263_1],National Fertilizers Limited||Corporate Office- Noida||Central Marketing Office,0.00
284,285.,01-Sep-2023 11:30 AM,22-Sep-2023 10:00 AM,23-Sep-2023 11:00 AM,"[Provision of perimeter lighting and associated works at SGRDJ International Airport, Amritsar.][AAI/ASR/Engg(E)/P/eNIT-06/2023][2023_AAI_166207_1]",Airports Authority of India||CHQ - AAI||Business Devlopment Cell - AAI,"65,62,222"
285,286.,01-Sep-2023 11:00 AM,06-Sep-2023 03:00 PM,06-Sep-2023 03:05 PM,[Civil Work][MCD/TR/5231/2023_5_1_1/1][2023_MCD_166333_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"12,06,672"
286,287.,01-Sep-2023 11:00 AM,08-Sep-2023 02:00 PM,11-Sep-2023 10:10 AM,[MCD/EE(Pr)-I/Sh(N)/2023-24/5.4][MCD/EE(Pr)-I/Sh(N)/2023-24/5.4][2023_MCD_166173_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"1,17,71,796"
287,288.,01-Sep-2023 11:00 AM,08-Sep-2023 02:00 PM,11-Sep-2023 10:10 AM,[MCD/EE(Pr)-I/Sh(N)/2023-24/5.1][MCD/EE(Pr)-I/Sh(N)/2023-24/5.1][2023_MCD_166170_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"1,41,50,496"
288,289.,01-Sep-2023 11:00 AM,21-Sep-2023 11:00 AM,22-Sep-2023 11:30 AM,[TENDER for UP-KEEPING AND MAINTENANCE OF MOBILE BTS SITES][KGP/TENDER/BTS/MTNCE/23-24/01 Dt.01.09.2023][2023_BSNL_166320_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||GMTD, Kharagpur","74,37,000"
289,290.,01-Sep-2023 11:00 AM,08-Sep-2023 02:00 PM,11-Sep-2023 10:10 AM,[MCD/EE(Pr)-I/Sh(N)/2023-24/5.6][MCD/EE(Pr)-I/Sh(N)/2023-24/5.6][2023_MCD_166175_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"2,74,04,165"
290,291.,01-Sep-2023 11:00 AM,08-Sep-2023 02:00 PM,11-Sep-2023 10:10 AM,[MCD/EE(Pr)-I/Sh(N)/2023-24/5.6][MCD/EE(Pr)-I/Sh(N)/2023-24/5.6][2023_MCD_166175_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"2,74,04,165"
291,292.,01-Sep-2023 11:00 AM,08-Sep-2023 02:00 PM,11-Sep-2023 10:00 AM,[MCD/EE(Pr)-I/Sh(N)/2023-24/5.5][MCD/EE(Pr)-I/Sh(N)/2023-24/5.5][2023_MCD_166174_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"1,51,78,455"
292,293.,01-Sep-2023 11:00 AM,08-Sep-2023 02:00 PM,11-Sep-2023 10:10 AM,[MCD/EE(Pr)-I/Sh(N)/2023-24/5.4][MCD/EE(Pr)-I/Sh(N)/2023-24/5.4][2023_MCD_166173_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"1,17,71,796"
293,294.,01-Sep-2023 11:00 AM,08-Sep-2023 02:00 PM,11-Sep-2023 10:10 AM,[MCD/EE(Pr)-I/Sh(N)/2023-24/5.3 	][MCD/EE(Pr)-I/Sh(N)/2023-24/5.3][2023_MCD_166172_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"57,35,684"
294,295.,01-Sep-2023 11:00 AM,08-Sep-2023 02:00 PM,11-Sep-2023 10:10 AM,[MCD/EE(Pr)-I/Sh(N)/2023-24/5.1][MCD/EE(Pr)-I/Sh(N)/2023-24/5.1][2023_MCD_166170_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"1,41,50,496"
295,296.,01-Sep-2023 11:00 AM,08-Sep-2023 02:00 PM,11-Sep-2023 10:10 AM,[NIT No. MCD/EE(Pr)-I/Sh.(N)/2023-24/04][NIT No. MCD/EE(Pr)-I/Sh.(N)/2023-24/04][2023_MCD_166169_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"90,83,092"
296,297.,01-Sep-2023 10:30 AM,21-Sep-2023 03:00 PM,22-Sep-2023 03:00 PM,"[Licence for Gift(Gifting) Retail Outlet inside Domestic SHA (First Floor) and International SHA (First floor) at Sri Guru Ram Dass Jee International Airport, Amritsar.][AAI/ASR/COMML/RETAIL/2023/32][2023_AAI_166197_1]",Airports Authority of India||Northern Region - AAI||AMRITSAR - AAI||COMMERCIAL-AMRITSAR - AAI,"3,85,000"
297,298.,01-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,11-Sep-2023 01:00 PM,[EEE/SZ/2023-24/Nit.34][MCD/TR/4398/2023_6_1_1/1][2023_MCD_166328_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,"9,77,125"
298,299.,01-Sep-2023 10:00 AM,11-Sep-2023 02:00 PM,12-Sep-2023 02:30 PM,"[Supply, Installation, Testing and Commissioning of Dual Fuel Kit for 380KVA and 750KVA DG Set Cummins Make at CSIR-CRRI, New Delhi-110025][CRRI/QSP/ESD/03/DG Set Dual Fuel Kit/2022-23/01][2023_CSIR_166098_1]",Council of Scientific and Industrial Research||CRRI-New Delhi - CSIR||ESD-CRRI - CSIR,"27,14,379"
299,300.,01-Sep-2023 10:00 AM,07-Sep-2023 02:30 PM,08-Sep-2023 03:00 PM,"[PURCHASE OF TEBUCONAZOLE 2 PERCENT DS (W/W) AND THIRAM  75 PERCENT WS FOR SEED TREATMENT AT DIFFERENT LOCATIONS OF PUNJAB, HARYANA AND RAJASTHAN.][NFL/ZOCHD/ABD/2023/231][2023_NFL_166300_1]",National Fertilizers Limited||NFL ZO-Chandigarh,"19,84,480"
300,301.,01-Sep-2023 10:00 AM,11-Sep-2023 10:00 AM,11-Sep-2023 01:00 PM,[EEE/SZ/2023-24/Nit.34][MCD/TR/4398/2023_6_1_1/1][2023_MCD_166328_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,"9,77,125"
301,302.,01-Sep-2023 10:00 AM,08-Sep-2023 12:00 PM,08-Sep-2023 12:05 PM,"[GENERAL-MCPS Ram Nagar Bhawan-I-Imp. dev. of M C Pry School Ram Nagar Bhawan-I repair of roof, repair of toilet blocks, repair of Balcony ,repair of Water Cooler room and other repair works in ward No.-80/CSPZ.-General Civil Work][EE/M-I/CSPZ/TC/ 2023-24/15-02][2023_MCD_166227_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"46,27,692"
302,303.,01-Sep-2023 10:00 AM,08-Sep-2023 12:00 PM,08-Sep-2023 12:05 PM,[GENERAL-Imp. Dev. MCPS Deputy Ganj-Imp. Dev. of M C Pry school Deputy Ganj Co-ed Sadar Bazar by strengthening of roof and other repair works in ward no.72 CSPZ.-General Civil Work][EE/M-I/CSPZ/TC/ 2023-24/15-01][2023_MCD_166224_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"45,89,964"
303,304.,01-Sep-2023 09:00 AM,08-Sep-2023 10:45 AM,08-Sep-2023 11:00 AM,[EE(Elect.)/CNZ/2023-24/30-04 	][EE(Elect.)/CNZ/2023-24/30-04][2023_SDMC_166327_1],South Delhi Municipal Corporation||Enigeering Electric - SDMC,"7,62,132"
304,305.,01-Sep-2023 09:00 AM,08-Sep-2023 10:45 AM,08-Sep-2023 11:00 AM,[EE(Elect.)/CNZ/2023-24/30-03][EE(Elect.)/CNZ/2023-24/30-03][2023_SDMC_166326_1],South Delhi Municipal Corporation||Enigeering Electric - SDMC,"9,18,559"
305,306.,01-Sep-2023 09:00 AM,08-Sep-2023 10:45 AM,08-Sep-2023 11:00 AM,[EE(Elect.)/CNZ/2023-24/30-02][EE(Elect.)/CNZ/2023-24/30-02][2023_SDMC_166325_1],South Delhi Municipal Corporation||Enigeering Electric - SDMC,"67,347"
306,307.,01-Sep-2023 09:00 AM,08-Sep-2023 10:45 AM,08-Sep-2023 11:00 AM,[EE(Elect.)/CNZ/2023-24/30-01][EE(Elect.)/CNZ/2023-24/30-01][2023_SDMC_166324_1],South Delhi Municipal Corporation||Enigeering Electric - SDMC,"2,14,283"
307,308.,01-Sep-2023 09:00 AM,07-Sep-2023 03:00 PM,08-Sep-2023 03:30 PM,[Providing 9m Poles at Saraswathinagar Mansoorabad Chintalkunta Hyderabad][39 / BCDH  II / 2023 24][2023_BSNL_166323_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Telengana Telecom Circle- Hyderabad||CE Civil,"4,04,416"
308,309.,01-Sep-2023 09:00 AM,14-Sep-2023 02:00 PM,15-Sep-2023 02:30 PM,"[R and R of Chamunda Mandir, Khurja][WAP/PHIW/KHURJA/KSTPP/23-24/2][2023_WAPCO_166321_1]",WAPCOS Limited||Centre for Port and Harbour and Inland Waterways||Port and Harbour (Gurgaon) - CPHIW,"1,48,63,221"
309,310.,01-Sep-2023 09:00 AM,05-Sep-2023 11:00 AM,05-Sep-2023 11:05 AM,[EE(Elect.)/CNZ/2023-24/29-01][EE(Elect.)/CNZ/2023-24/29-01][2023_SDMC_166322_1],South Delhi Municipal Corporation||Enigeering Electric - SDMC,"4,65,538"
310,311.,01-Sep-2023 09:00 AM,14-Sep-2023 11:00 AM,15-Sep-2023 11:30 AM,[Engagement of user fee collection agency on the basis of competitive bidding through e-tender for Manoharpura fee plaza at Km 211.00 on NH-08 Gurgaon Kotputli Jaipur section of NH8 in the State of Haryana and Rajasthan][NHAI/13013/547/CO/ 23-24/CB/Manoharpura  FP][2023_NHAI_166317_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,"2,17,49,00,000"
311,312.,01-Sep-2023 09:00 AM,06-Sep-2023 11:00 AM,08-Sep-2023 11:30 AM,[Engagement of user fee agency through EQ at Khireitangiri Fee Plaza in Keonjhar District of NH6 (New NH49) in the State of Odisha][NHAI/13013/547/CO/23-24/EQ/ Khireitangiri][2023_NHAI_166313_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,"67,94,00,000"
312,313.,01-Sep-2023 09:00 AM,14-Sep-2023 11:00 AM,15-Sep-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through e-tender for Banthadi Fee Plaza of Nimbajodha Degana Merta City section of NH-458 in the state of Rajasthan][NHAI/13013/547/CO/ 23-24/CB/Banthadi FP][2023_NHAI_166312_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,"5,54,00,000"
313,314.,01-Sep-2023 09:00 AM,05-Sep-2023 10:45 AM,05-Sep-2023 11:00 AM,[EE(Elect.)/CNZ/2023-24/28-02 	][EE(Elect.)/CNZ/2023-24/28-02][2023_SDMC_166316_1],South Delhi Municipal Corporation||Enigeering Electric - SDMC,"1,82,042"
314,315.,01-Sep-2023 09:00 AM,09-Sep-2023 03:00 PM,11-Sep-2023 11:30 AM,"[Attending day to day  faults,  repairing and maintenance of outdoor type transformer substations and  Rewinding of 25/63 KVA,  11KV/0.415KV  oil cooled Transformers with associated works at various Telephone Exchanges, Mobile BTSs Sites in Baripada S][NIT No- 76/BSNL/ED/CTC/2023-24][2023_BSNL_166314_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Odisha Telecom Circle||CE (Electrical),"5,82,058"
315,316.,01-Sep-2023 09:00 AM,07-Sep-2023 03:00 PM,08-Sep-2023 03:30 PM,[Providing 9m Poles at Kongakalan Hyderabad][38 / BCDH  II / 2023 24][2023_BSNL_166318_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Telengana Telecom Circle- Hyderabad||CE Civil,"4,79,675"
316,317.,01-Sep-2023 09:00 AM,05-Sep-2023 10:45 AM,05-Sep-2023 11:00 AM,[EE(Elect.)/CNZ/2023-24/28-01][EE(Elect.)/CNZ/2023-24/28-01][2023_SDMC_166315_1],South Delhi Municipal Corporation||Enigeering Electric - SDMC,"27,938"
317,318.,01-Sep-2023 09:00 AM,22-Sep-2023 11:00 AM,23-Sep-2023 11:30 AM,[SUPPLY OF MEDICINE][TMS/CMM/TAPS1N2/64660][2023_NPCIL_165591_2],Nuclear Power Corporation Of India Limited||Tarapur Maharashtra Site - NPCIL||Contracts and Materials Management-NPCIL,NA
318,319.,01-Sep-2023 09:00 AM,12-Sep-2023 03:00 PM,13-Sep-2023 03:00 PM,[Annual Comprehensive Maintenance of Unitary Air conditioners and kitchen/toilet ventilation systems in various buildings in IIT Madras for the period from 01-10-2023 to 30-09-2024][32/2023-24/ELDB][2023_IITM_166310_1],Indian Institute of Technology Madras||Engineering Unit - IITM,"68,39,000"
319,320.,01-Sep-2023 09:00 AM,14-Sep-2023 02:00 PM,15-Sep-2023 02:30 PM,"[CONSTRUCTION OF HEAD OF PREMISES BUNGALOW AT THDC KSTPP, KHURJA][WAP/PHIW/KHURJA/KSTPP/23-24/1][2023_WAPCO_166242_1]",WAPCOS Limited||Centre for Port and Harbour and Inland Waterways||Port and Harbour (Gurgaon) - CPHIW,"1,34,85,057"
320,321.,01-Sep-2023 09:00 AM,15-Sep-2023 03:00 PM,18-Sep-2023 11:00 AM,[Renovation of room no 17291731 at CMC building  KG lab ground floor and minor repair work of the first floor of KG lab store at CSIR NCL][6 /CIVIL/2023-24][2023_CSIR_166094_1],Council of Scientific and Industrial Research||NCL Pune - CSIR||ESD- NCL - CSIR,"19,55,404"
321,322.,01-Sep-2023 09:00 AM,22-Sep-2023 11:00 AM,23-Sep-2023 11:30 AM,[SUPPLY OF MEDICINE][TMS/CMM/TAPS1N2/64660][2023_NPCIL_165591_2],Nuclear Power Corporation Of India Limited||Tarapur Maharashtra Site - NPCIL||Contracts and Materials Management-NPCIL,NA
322,323.,31-Aug-2023 06:55 PM,08-Sep-2023 06:00 PM,11-Sep-2023 03:30 PM,"[Reconstruction of fallen compound wall including demolishing  of leaned compound wall and strengthening of existing compound wall on (Eastern side) of T.E. Building campus at Vazhapadi, Salem Dt.,(Revised) 004/BSNL/CD/SLM/2023-24][004/BSNL/CD/SLM/2023-24][2023_BSNL_166268_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Tamilnadu Telecom Circle||CE(Civil), Chennai","4,73,146"
323,324.,31-Aug-2023 06:55 PM,08-Sep-2023 06:00 PM,11-Sep-2023 03:30 PM,"[Civil works for providing new  machine room less lift and extension of lift upto 3rd floor in TE building at Meyyanur, Salem 003/BSNL/CD/SLM/2023-24][003/BSNL/CD/SLM/2023-24][2023_BSNL_166258_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Tamilnadu Telecom Circle||CE(Civil), Chennai","3,36,967"
324,325.,31-Aug-2023 06:55 PM,03-Oct-2023 11:00 AM,04-Oct-2023 12:30 PM,[Construction of Underpass at km. 131.530 and CUP at km. 131.700 at Charampa along with approaches on Chandikhole Bhadrak section of NH 16 in the state of Odisha on EPC Mode 2nd Call][NHAI/13012/109/RO/OD/2023][2023_NHAI_166307_1],National Highways Authority of India||RO-Bhubaneswar - NHAI,"16,88,35,106"
325,326.,31-Aug-2023 06:55 PM,13-Sep-2023 11:00 AM,14-Sep-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through etender on Ferozshah Fee Plaza in the state of Punjab and upkeep/maintenance of adjacent Toilet blocks including recouping the consumable items ][NHAI/13013/547/CO/23-24/CB/ Ferozshah][2023_NHAI_166306_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,"3,01,00,000"
326,327.,31-Aug-2023 06:55 PM,09-Sep-2023 03:00 PM,11-Sep-2023 11:30 AM,"[Attending day to day  faults,  repairing, maintenance of outdoor type transformer substations and  Rewinding of 25/63 KVA,  11KV/0.415KV  oil cooled Transformers with associated works at various Telephone Exchanges, Mobile BTSs Sites in Balasore SSA][NIT No- 75/BSNL/ED/CTC/2023-24][2023_BSNL_166305_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Odisha Telecom Circle||CE (Electrical),"5,82,058"
327,328.,31-Aug-2023 06:55 PM,21-Sep-2023 05:00 PM,22-Sep-2023 05:00 PM,"[Appointment of Safety Consultant for Sanchore - Santalpur Section (km 4.888 km 130.073) of NH-754K Amritsar Jamnagar Economic Corridor in the State of Gujarat on EPC Mode Pkg-1,2,3,4 Total Length- 125.185 km][NHAI/RO-GNR/RSC/RGBS/Pkg 1-4/2023][2023_NHAI_166299_1]",National Highways Authority of India||Head Office - NHAI,0.00
328,329.,31-Aug-2023 06:55 PM,06-Sep-2023 11:00 AM,08-Sep-2023 11:30 AM,[Engagement of user fee agency through e-quotation at Tamdoli Fee Plaza at Km 93.500  of Nimbijodha-Degna-Merta City section from design Km 0.000 to Km 139.900 of NH 458 in the State of Rajasthan][NHAI/13013/547/CO/ 23-24/EQ/Tamdoli FP][2023_NHAI_166311_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,"5,85,00,000"
329,330.,31-Aug-2023 06:55 PM,06-Sep-2023 02:30 PM,07-Sep-2023 03:00 PM,[Transportation of Heavy Equipment ODC to from NTECL for Unit 1 restoration works][CS-5488][2023_NTECL_166275_1],NTECL,NA
330,331.,31-Aug-2023 06:55 PM,20-Sep-2023 03:00 PM,21-Sep-2023 03:00 PM,"[Licence for Fragrance Outlet at Domestic Security Hold Area (DSHA), New Integrated Terminal Building, Goa International Airport, Dabolim.][AAI/COMML/GOA/FO/2023][2023_AAI_166226_1]",Airports Authority of India||Western Region - AAI||INDORE - AAI||COMMERCIAL-VAID - AAI,"6,88,80,000"
331,332.,31-Aug-2023 06:55 PM,20-Sep-2023 03:00 PM,21-Sep-2023 03:00 PM,"[Licence for Wellness Store at Domestic Security Hold Area (DSHA), New Integrated Terminal Building, Goa International Airport, Dabolim.][AAI/COMML/GOA/WS/2023][2023_AAI_166231_1]",Airports Authority of India||Western Region - AAI||INDORE - AAI||COMMERCIAL-VAID - AAI,"4,92,00,000"
332,333.,31-Aug-2023 06:50 PM,19-Sep-2023 02:00 PM,20-Sep-2023 03:00 PM,[SHIFTING OF LCNG STATION FROM BHUBANESHWAR MANCHESWAR TO KHORDA TANGI][05/51/Q7NT/GAIL/001-iv-08][2023_GAIL_166211_1],GAIL (India) Limited||Project Management Consultant-PMC for GAIL India Ltd||MECON LIMITED-PMC,NA
333,334.,31-Aug-2023 06:30 PM,07-Sep-2023 06:30 PM,08-Sep-2023 06:30 PM,"[Short Term License to operate Food and Beverages Outlets (City side- outside terminal building) at Srinagar International Airport, Srinagar.][AAI/SXR/COMML/FandB/403/2023][2023_AAI_166266_1]",Airports Authority of India||Western Region - AAI||VADODARA - AAI||COMMERCIAL-VABO - AAI,NA
334,335.,31-Aug-2023 06:10 PM,05-Sep-2023 06:30 PM,06-Sep-2023 06:30 PM,[work of Supply Installation Testing Commissioning and five Year Comprehensive Annual Maintenance Contract of IP CCTV Surveillance System at PTPS Panipat ][HR-RTK-12/15(11)/3/2023-EB-RTK BA][2023_BSNL_166301_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Haryana Telecom Circle||GMTD,Sonepat","5,19,00,000"
335,336.,31-Aug-2023 06:00 PM,22-Sep-2023 06:00 PM,26-Sep-2023 11:00 AM,[Construction of Temporary Boundary Wall for Operationalization of ILS Glide Path at Bagdogra Airport][AAI/BD/Engg.(C)/Glide Path/NIT-07/2023-24][2023_AAI_166168_1],Airports Authority of India||Eastern Region - AAI||BAGDOGRA - AAI||ENGG ELECT-VEBD- AAI,"32,13,546"
336,337.,31-Aug-2023 06:00 PM,14-Sep-2023 03:00 PM,15-Sep-2023 04:00 PM,"[Tender for refurbishment, testing, certification and replacement of defective cascade spares of various capacity CNG cascades for a period of 02 (Two) years for CNG and CGD Project of MNGL Sindhudurg GA.][MNGL/CP/2023-24/82][2023_MNGL_166293_1]",Maharashtra Natural Gas Ltd.||Corporate Office  Pune||Contracts and Procurement,NA
337,338.,31-Aug-2023 06:00 PM,20-Sep-2023 12:00 PM,21-Sep-2023 12:00 PM,[Jammu Rural ZOne-II][JKJMU-11/12(13)/2/2023 Zone-II][2023_BSNL_166292_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jammu and Kashmir Telecom Circle||O/o CGMT, Jammu and Kashmir, Jammu","1,10,00,000"
338,339.,31-Aug-2023 06:00 PM,17-Oct-2023 11:00 AM,18-Oct-2023 11:30 AM,[Development Operation and MMLP Park MMLP at Sri Satya Sai Anantapur District in  Andhra Pradesh through PPP on DBFOT basis.][NHLML/ MMLP/ ANANTAPUR/ 2023][2023_NHAI_166294_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,"3,31,00,00,000"
339,340.,31-Aug-2023 06:00 PM,06-Sep-2023 03:00 PM,07-Sep-2023 03:00 PM,[EOI for providing Internet Leased Line 500 Mbps][RJJPTD/Test][2023_BSNL_166253_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||PGMTD-Jaipur||AGM(Plg.),NA
340,341.,31-Aug-2023 06:00 PM,28-Sep-2023 12:00 PM,29-Sep-2023 12:15 PM,"[Laying, Jointing and End Termination of HT/LT Power Cables.][23-24/C-097/NIT-1345][2023_BPSCL_166297_1]",Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL,"6,89,036"
341,342.,31-Aug-2023 06:00 PM,20-Sep-2023 12:00 PM,21-Sep-2023 12:00 PM,[Jammu Rural ZOne-II][JKJMU-11/12(13)/2/2023 Zone-II][2023_BSNL_166292_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jammu and Kashmir Telecom Circle||O/o CGMT, Jammu and Kashmir, Jammu","1,10,00,000"
342,343.,31-Aug-2023 06:00 PM,22-Sep-2023 06:00 PM,26-Sep-2023 11:00 AM,[Construction of Temporary Boundary Wall for Operationalization of ILS Glide Path at Bagdogra Airport][AAI/BD/Engg.(C)/Glide Path/NIT-07/2023-24][2023_AAI_166168_1],Airports Authority of India||Eastern Region - AAI||BAGDOGRA - AAI||ENGG ELECT-VEBD- AAI,"32,13,546"
343,344.,31-Aug-2023 06:00 PM,21-Sep-2023 11:00 AM,22-Sep-2023 12:00 PM,[Operation and Maintenance of BSNL CSCs of Category II in business area of JAIPUR][T-28/Cat-II/2023-24 ][2023_BSNL_166248_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||PGMTD-Jaipur||JTO(IT),0.00
344,345.,31-Aug-2023 06:00 PM,06-Sep-2023 03:00 PM,07-Sep-2023 03:00 PM,[EOI for providing Internet Leased Line 500 Mbps][RJJPTD/Test][2023_BSNL_166253_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||PGMTD-Jaipur||AGM(Plg.),NA
345,346.,31-Aug-2023 06:00 PM,12-Sep-2023 03:00 PM,14-Sep-2023 12:30 PM,"[Etender for the work SITC 25 Ltr Geyser along with associated work,  replacement, and providing new Electrical copper wiring for Hostels at BRBRAITT  Jabalpur][24/ EE (E)/BSNL/JBP/2023-24][2023_BSNL_166139_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Madhya Pradesh Telecom Circle- Bhopal||O/o CGMT, MP Telecom Circle Bhopal","3,62,435"
346,347.,31-Aug-2023 06:00 PM,11-Sep-2023 02:00 PM,11-Sep-2023 02:30 PM,[Engaging Tata Magic /LMV with driver and one beldar for lifting malba/floating material/silt and day to day repair work in ward no 216 Jhilmil EE-M-I/ SNZ][MCD/TR/6126/2023_5_1_1/1][2023_MCD_166232_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"8,64,376"
347,348.,31-Aug-2023 06:00 PM,18-Sep-2023 02:00 PM,18-Sep-2023 02:30 PM,"[Improvement Development of lanes from H.No. C-442 to H.No. C-611 in C-block Gokalpuri and near H.No. A-21, A-52 and masjid in A-block Gokalpuri by pdg. CC pavement in ward no. 239 Gokalpuri AC-68 Sh(N)Zone][MCD/TR/3996/2023_5_1_1/1][2023_MCD_166235_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,"28,36,155"
348,349.,31-Aug-2023 06:00 PM,23-Sep-2023 06:00 PM,27-Sep-2023 11:00 AM,"[Special Repair and rehabilitation of airfield pavement at NSCBI Airport, Kolkata. SH Miscellaneous Electrical work][AAC/EMD-II/NIT-SPREP/2023-24][2023_AAI_166119_1]",Airports Authority of India||Eastern Region - AAI||KOLKATA AIRPORT - AAI||ENGG ELECT-VECC - AAI,"10,27,29,918"
349,350.,31-Aug-2023 05:30 PM,07-Sep-2023 03:30 PM,08-Sep-2023 03:30 PM,"[TG-DTA sample carrier system, without radiation shield, without crucibles, thermocouples type S, temperature range 25 -1650 degree C][P/C/18/SC/DR/STE/23-24][2023_CSIR_166283_1]",Council of Scientific and Industrial Research||CGCRI-Kolkatta - CSIR||Purchase-CGCRI - CSIR,NA
350,351.,31-Aug-2023 05:30 PM,21-Sep-2023 05:45 PM,23-Sep-2023 11:00 AM,[PROGRAMMABLE PELTIER BASED BOD INCUBATOR][IITR/PUR/9(04)/23-24/138][2023_CSIR_166291_1],Council of Scientific and Industrial Research||IITR-Lucknow - CSIR||Purchase-IITR - CSIR,NA
351,352.,31-Aug-2023 05:30 PM,21-Sep-2023 03:00 PM,22-Sep-2023 03:00 PM,"[Providing Highly Skilled, Skilled, Semi-skilled and Unskilled manpower at CSIR-SERC][A2(1574)/2023/GL][2023_CSIR_166279_1]",Council of Scientific and Industrial Research||SERC-Chennai - CSIR||Admin-SERC - CSIR,NA
352,353.,31-Aug-2023 05:15 PM,16-Oct-2023 11:00 AM,17-Oct-2023 11:30 AM,[DEVELOPING OPERATING AND MAINTAINENCE OF LARGE AND SMALL WAYSIDE AMENITIES ON DIFFERENT SECTIONS OF NATIONAL HIGHWAY ON LEASE BASIS.][NHAI/WSA/OM/ West-7/2023][2023_NHAI_166288_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,0.00
